"Time [ms]","Moving1.Torque [NewtonMeter]"
320,39.8649097993827
321,51.4600454577171
322,62.7923267265101
323,44.8812341537858
324,60.2701220401731
325,46.0749284541738
326,48.3953661844586
327,41.6607421963129
328,42.5705285691534
329,54.0108400966126
330,45.4439828974682
331,66.832721439726
332,41.9557973066167
333,58.3716074854907
334,34.6663099118106
335,38.4314901806985
336,48.8181904587261
337,36.9766836386279
338,59.7619059978818
339,59.6716808321321
340,46.466039689131
341,64.9729320598497
342,37.71203270739
343,52.856795533741
344,41.8957280603256
345,44.7905718916098
346,54.4790053367075
347,46.0350575659206
348,63.3144779758578
349,45.0273161097586
350,61.3084063013869
351,34.7398798592327
352,47.5489745969109
353,38.1174417117785
354,36.6696686951931
355,58.5833217747719
356,48.4895132241497
357,53.9390875850944
358,66.1556003799905
359,36.508278941207
360,57.4409480572273
361,32.1301475039922
362,48.5879834849616
363,49.2574587251705
364,45.818268390963
365,64.5456901106898
366,48.8924120206698
367,57.8721182953933
368,39.1569232492348
369,49.6827954399962
370,35.0600568608075
371,41.7908473109241
372,56.0205286404511
373,41.6618388359965
374,59.7746732151437
375,51.4248194036329
376,44.1339009850403
377,59.7671483841173
378,29.7232830864076
379,53.4333472448875
380,39.5396448998353
381,47.451746429959
382,63.2778088435026
383,49.1421120223035
384,59.5916103355455
385,46.344910843754
386,49.3296945205026
387,37.3991726909348
388,43.166151695337
389,52.120427639497
390,44.9510335633832
391,66.7427951724111
392,41.7001411152062
393,53.2250985770568
394,45.0691607525125
395,35.5724022460479
396,55.8131448321975
397,35.532650042467
398,55.2961176456968
399,58.9364030521902
400,45.5971319344704
401,63.3241508957476
402,45.3242684368162
403,51.5930297119292
404,43.3648611284184
405,43.3975719484501
406,49.7669474771362
407,44.6262309959349
408,65.0839615465738
409,44.393869322937
410,63.1432469214665
411,34.663110658851
412,42.6907281661764
413,43.1973224342596
414,35.0510161221234
415,59.3704870020392
416,52.9603220779383
417,50.2151201772253
418,66.6374555954874
419,38.0138368322574
420,55.5873185720675
421,39.1966461855813
422,46.0410972113191
423,50.4929989233065
424,44.4898489747355
425,62.0978108497714
426,46.2245787457193
427,61.8766379879472
428,37.2442605000992
429,51.8522496385448
430,33.97008977029
431,36.9349989166912
432,54.5522400996956
433,43.1723081837692
434,56.9193995479644
435,62.7990621253064
436,40.8216615592029
437,61.2226482532667
438,30.8091233851875
439,50.013883726379
440,42.6443889179616
441,45.2441409750478
442,64.2500576989901
443,49.8475831185229
444,59.7090105657776
445,42.7117689094088
446,52.4365745492126
447,34.7270847129046
448,44.1920649728354
449,50.7388813275734
450,41.4223805653965
451,62.5589488807193
452,48.2886845116046
453,49.5860126268162
454,58.650629289076
455,32.4083411556591
456,56.2566198260502
457,34.7516466993928
458,50.2245884942051
459,59.2540080436925
460,47.7952285695653
461,63.1551435895371
462,49.3314248650459
463,51.641477717244
464,38.9562296842548
465,44.100517207379
466,46.8047030517934
467,44.7307032122386
468,66.5110375940359
469,43.2000560595003
470,58.6769609505518
471,41.9582588195146
472,39.3594656402444
473,52.532272254957
474,32.9263241999819
475,57.6730517709034
476,53.0836153867758
477,47.0429427238262
478,65.0542217212343
479,44.037363501822
480,54.5245056484239
481,44.685438693032
482,44.4159436530988
483,45.6110480399316
484,43.0859449763107
485,61.9887941993628
486,45.4116000624246
487,65.5659419159912
488,36.1262494946999
489,47.8634852278579
490,37.7159533754716
491,34.3372432279458
492,56.2945077143609
493,45.7970419979328
494,53.9825581058798
495,66.3495663984401
496,39.8349130381034
497,58.6994362106697
498,37.0621386907281
499,47.8554996485413
500,46.6665241316361
501,43.6489298395324
502,60.8624559263226
503,47.1384906291261
504,62.450477985988
505,40.4680794200421
506,56.0315562091817
507,32.9470508231155
508,40.3772826896945
509,49.5182655937802
510,40.0125349461803
511,59.7708716226604
512,58.0912509191574
513,46.2445849619511
514,64.9073769124269
515,31.5660347773166
516,52.6233165707391
517,37.6735746185561
518,46.9925403514449
519,61.5301877760297
520,49.691725769575
521,62.2465148366523
522,46.2400775287153
523,54.4232201891825
524,35.9691927592554
525,46.1259867083618
526,44.8427204894016
527,42.0807717022616
528,63.3231580357078
529,45.4445844384689
530,54.4586569683646
531,55.5370557259819
532,36.2035673133759
533,58.3737766464293
534,31.4514647076057
535,52.2175757113142
536,53.0449756662887
537,46.744731824488
538,65.1580647651617
539,50.0835476490612
540,54.0554087227393
541,41.4098953867004
542,44.974793181314
543,42.0546412601594
544,43.2939960460075
545,63.0130392970498
546,44.3163409132194
547,62.8127517281105
548,39.6294994469702
549,43.6488584166532
550,48.0803011137884
551,32.0351940038251
552,57.9109180216594
553,46.214405016239
554,49.2288985417378
555,64.9194865149723
556,43.3603751467473
557,57.3500249009925
558,44.7808233229302
559,46.0137805949253
560,43.2160145982558
561,42.0978560920569
562,58.454818310243
563,45.698055140429
564,66.146577454211
565,39.1002794791967
566,54.0373056956477
567,34.717717653762
568,36.1125240384192
569,52.0593897979697
570,40.4766239288698
571,57.9489245632221
572,63.9998566188277
573,43.2962252910449
574,62.7076541478305
575,36.0763109944709
576,50.7350481697689
577,43.3785640540004
578,44.5146792878313
579,59.1785134923189
580,47.4327449580494
581,63.1127842486049
582,43.6245554162014
583,58.5781555168363
584,33.9023191859256
585,44.8312695871429
586,43.7098897608095
587,38.3529798628135
588,60.6522684578871
589,52.5408481334224
590,51.2328027912741
591,66.2170909248655
592,33.8646562116944
593,55.5660394181576
594,33.6449696670083
595,48.5325134056439
596,55.6077249916268
597,48.0047231969252
598,64.4749548466859
599,48.6457871730366
600,55.9843687430442
601,37.8651213302931
