"Time [ms]","ElecPower []","MechPower []"
68,7953.64098022535,4840.26538903696
69,8686.77606288855,7949.26683633849
70,7648.95466354894,6203.21111023696
71,6470.6307891425,6340.72709136951
72.0000000000001,7443.41968449418,8735.40657237656
73.0000000000001,5746.32243523043,6486.48398588315
74.0000000000001,6235.55366831803,7085.5675853833
75.0000000000001,5562.88105230406,5271.92744750232
76.0000000000001,5341.19488365244,5223.36858679937
77.0000000000001,5379.94221846141,3751.60113629262
78.0000000000001,4794.17405018459,4446.3311256705
79.0000000000001,6026.62429040441,5519.40256476838
80.0000000000001,5388.25186733913,5170.31699897988
81.0000000000001,6477.65001110089,8150.88698854966
82.0000000000001,7104.26778506694,5803.01975367897
83.0000000000001,6978.56970856701,7316.61511245612
84.0000000000001,8619.52953795987,7280.88132807617
85.0000000000001,7263.1709320115,5404.47713245535
86.0000000000001,9002.02232758778,8764.58930298047
87.0000000000001,7574.48294378662,5316.34665411511
88.0000000000001,8082.88327177903,8405.79037895352
89.0000000000001,8592.06868834865,9001.25928666161
90.0000000000001,7261.09647233736,7059.95140461432
91.0000000000001,8710.75272519087,9698.89631726393
92.0000000000001,7494.51513878269,7158.89413142639
93.0000000000001,7758.44362535018,7294.85243708222
94.0000000000001,7209.02459747626,5914.80067871786
95.0000000000001,6707.43114721008,5888.96950792403
96.0000000000001,7183.56226559814,6493.60173985632
97.0000000000001,6121.3408570457,5992.79038008089
98.0000000000001,7276.17034480832,9039.41635367616
99.0000000000001,6973.28808585842,6078.00013390643
100,7053.96415039947,8611.82851340159
101,7947.96143333602,5159.03181025108
102,6898.4471127361,5970.07321949196
103,8493.34255447535,6651.39231431354
104,6827.07736011653,5095.17026271175
105,8211.23292111248,9002.03257779417
106,7830.54278345786,7963.6921068837
107,7361.52146375698,7606.60955594489
108,9049.52777894278,10246.0001995969
109,7629.57450390092,6192.11740106251
110,8649.90828616971,8535.52835899494
111,7789.42126125535,6420.61153974243
112,7813.29817437139,6891.59281278073
113,7804.62697663389,7334.96096502981
114,6776.62886348683,6538.16249450188
115,8166.74867802873,9248.22415264409
116,7170.05716247944,6782.1487334141
117,7687.78408496799,9326.11317183401
118,7876.79963768794,5406.64022549824
119,7263.64738873936,7490.82413991788
120,8148.55021021623,5049.40358386731
121,6629.70006302065,5265.27739446282
122,8285.6884865693,8164.55870587305
123,7137.00899466307,6580.82326031888
124,7401.4242909785,8537.36774988223
125,8681.45714031432,9931.26564069375
126,7374.22538365308,6223.55285166972
127,8820.44579093303,9313.40175137895
128,7605.4176720287,5023.88381446109
129,8298.10457470074,7654.92558332645
130,7847.82885493339,6810.89332030604
131,7205.51970591273,6908.82555501207
132,8572.1373665168,9767.93082927311
133,7242.04702149721,7530.25934278028
134,8290.83967501447,9230.10907637104
135,7995.08818885046,6376.59523022915
136,7986.06224401808,8136.31331976157
137,8084.74093721773,5143.90911110624
138,7095.61278891747,6574.05033706035
139,8409.1877303761,7582.06397412632
140,6941.50289630474,6128.73472638069
141,7831.12412572134,9323.56349297656
142,8324.57752728504,7827.31058921098
143,7467.8889055779,7420.70940350373
144,8961.00556314177,9510.23897600901
145,7394.17270711484,4890.50045039545
146,8674.69479421778,8451.60745722343
147,7552.60754597664,5407.42129688291
148,7632.46571834164,7572.31472892624
149,8538.46833511089,9230.29164660023
150,7203.59057279503,7521.57518794675
151,8712.89772836865,9704.71826691182
152,7941.38621522309,7491.20467017914
153,8364.22990688648,8033.47669308526
154,8057.07872760206,5808.70044975142
155,7609.4764561691,6844.35473779708
156,8343.60684877183,7048.80431607213
157,6998.05189646484,6786.12670593751
158,8260.0337423668,10068.6934733844
159,7927.29165112186,6595.98333244833
160,7719.56331271919,8731.53272608352
161,8858.36549542279,7055.81141355864
162,7364.62030510139,5877.89478521481
163,8911.49135134997,8487.91834207044
164,7134.91219600096,4930.93202490902
165,8056.54396352593,8564.94053927611
166,8014.9270558556,8099.40414859699
167,7157.76559707608,7172.44379563465
168,8888.51117113322,9978.82487421711
169,7639.14859628398,7140.90286118873
170,8536.70761852796,8346.6121932392
171,7913.20548242313,6801.23404611477
172,7884.57741792743,6804.45746450677
173,8065.52061448857,6791.12273632711
174,7040.86514542892,6597.31641902246
175,8435.80448705191,9550.95188005378
176,7525.61902773507,6943.82243831022
177,7933.7564128927,10042.9063859604
178,8471.23778652416,5587.97213014022
179,7482.75650144503,7087.18221743862
180,8760.03165304816,6212.1465273944
181,6886.32185230166,5154.28548830461
182,8445.02864201685,8760.42816643345
183,7391.48630832562,7095.68691949951
184,7271.79248269876,8031.90868840463
185,8758.72529359789,10122.0472111889
186,7350.5405096853,6227.18264693754
187,8644.63668286356,8928.33488935584
188,7719.17558541842,6099.08943763249
189,8112.66791558216,7231.29925709822
190,7862.64432621614,7105.69470757638
191,7148.88604885333,6599.12218363699
192,8485.96794000671,9178.2568016545
193,7272.72446588452,7133.85505821217
194,8191.25862009705,9757.32526207717
195,8193.76632817882,6148.96682843039
196,7916.10856276626,8652.73166114178
197,8454.20269700393,5035.20200630026
198,7091.64298838895,5911.54123502314
199,8651.0276310824,7640.75577756275
200,7065.84210145854,6144.65918848336
201,7772.64933303713,9075.8319025461
202,8479.83730742249,9346.04405674612
203,7391.61276141421,6919.46501733538
204,8913.81582177761,9886.19777412897
205,7560.06504542178,4962.73383803306
206,8493.43219550135,7953.03358114355
207,7731.05244096124,6031.00247154396
208,7492.55415521179,7059.12226230998
209,8482.70241034158,9426.8668468423
210,7151.32366674244,7551.25630660496
211,8514.37537802604,9540.80915896158
212,8007.85096799506,6942.0639293065
213,8236.46682385088,8536.60697203169
