"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
56,-6.73465751288579,14.310716888572,-8.58055336406888
57,-13.0996442028543,8.68345538967948,-7.22394954675554
58,-13.0982245045253,6.95055581654673,-0.837968070950574
59,-8.5276134934,7.10264657979665,7.14936750564384
60,-6.25436740467906,3.91423792492681,12.4576318501399
61,-5.82588493926798,-2.24296194293281,10.7664753978641
62,-3.70098111149047,-9.78143654051173,9.91249705493527
63,-0.716390462296462,-12.1019234581108,9.82711986503169
64,3.88890726717005,-15.3055844498071,5.60236728422972
65,8.77267105426627,-18.1144354989348,3.0902304440416
66,14.6157602924475,-11.9034080431107,1.80883326687847
67,22.9182340056386,-7.025512869959,-0.554689836962521
68,18.0145057366821,-6.92612497353857,-7.06736134782978
69,12.9125107447576,-6.63048330795532,-16.9819924338996
70,12.8044033941709,-1.74492295060556,-18.1800469418644
71,11.268892104739,4.04821914582543,-17.2808175080529
72.0000000000001,6.46330426963852,10.0081813311364,-18.922448673472
73.0000000000001,4.08710409057567,13.5994736003401,-15.0734181528369
74.0000000000001,1.90001424648253,20.3281549055845,-8.16007493690865
75.0000000000001,-4.9560234172164,17.5266290582176,-6.73577041873216
76.0000000000001,-13.5294050583684,10.9470003725106,-7.00307752527906
77.0000000000001,-16.6193734095228,8.16619370484502,-2.82494659153696
78.0000000000001,-13.3026245080022,7.61273415877519,4.22145371113717
79.0000000000001,-11.7830097019179,5.02047626913144,11.1768345335115
80.0000000000001,-10.3450423891176,1.12349527929379,12.7011018191966
81.0000000000001,-5.54305338074805,-3.37098114586541,15.6460375200442
82.0000000000001,-2.99594929167734,-8.46862790986908,16.1244783639366
83.0000000000001,-1.4020311307641,-14.3665714908327,9.52399142053378
84.0000000000001,1.75314321650884,-20.7832283924245,5.1608386001829
85.0000000000001,8.45988847265838,-14.6305166567009,4.51956261342295
86.0000000000001,17.8478822098333,-10.1076368547714,3.12833601678741
87.0000000000001,17.115021847471,-9.31199840090905,-1.33729818132892
88.0000000000001,15.8827291718867,-6.82746651104093,-8.52876093261228
89.0000000000001,16.5240974168563,-3.16631970116464,-13.291085482311
90.0000000000001,11.9233681502512,-0.415448479978927,-16.0171909513221
91.0000000000001,5.91488876943766,3.49374671477932,-21.8484076266069
92.0000000000001,4.64535610376237,9.62205016772656,-17.4731855880278
93.0000000000001,4.26910697836721,18.4224201649995,-10.1506767930056
94.0000000000001,-0.880716449458876,19.0799205009492,-7.70589538711953
95.0000000000001,-8.93234073894022,14.4756419082841,-7.37784230701206
96.0000000000001,-14.5442138170876,12.6518712728583,-4.16555710878868
97.0000000000001,-14.9934181359679,10.4096320577158,0.381822152013217
98.0000000000001,-17.607796156496,5.69454901814675,5.53646307300865
99.0000000000001,-15.9522496249053,3.10147050397796,10.3478471112324
100,-8.94103244910963,1.37962857235488,16.5363108304372
101,-5.01930608918787,-2.7601294034826,20.3859543020797
102,-4.50232679755998,-10.0851997745337,13.4070385308045
103,-2.6039538777278,-18.5794215637763,8.97339578860388
104,2.54258103794217,-16.0908176015884,8.04219783974077
105,10.6043942550241,-14.5604708295672,5.21020596566091
106,13.7277027656178,-14.5866742360957,2.04189779814971
107,16.5146559922278,-9.21396949241288,-1.42397035935433
108,21.0762904553964,-4.30466402619315,-6.23612638568986
109,15.3887379630273,-3.1355986434698,-11.7977241859666
110,8.26362736724878,-1.91955799128319,-20.505406835958
111,6.35903683158421,3.84028501625907,-18.9847856187561
112,5.98495246189419,12.6264584930253,-13.5213387830944
113,2.36232879888718,16.6694088398596,-11.5357342186399
114,-2.61539812235861,16.1634232626063,-9.08631730048921
115,-8.49481659006601,18.1926803843371,-4.78881344803627
116,-12.5643996541784,15.0416481132935,-2.33425563357699
117,-19.1091238802082,7.93369894061963,-0.355559345931931
118,-19.8990151394532,4.67415527119693,4.88879452555788
119,-12.6699013526044,4.3072716908187,12.7620458942809
120,-8.24908137092054,1.95934021232167,19.467933078275
121,-7.30038720812344,-4.07282639144405,15.854477701135
122,-4.56533104727092,-12.5115912449596,13.9118446948136
123,-1.42031012380713,-14.2625502216145,13.3951020142578
124,2.8706776957677,-16.9811405066473,7.58492699772997
125,7.83703202619694,-20.1922470559291,3.55726389660284
126,13.3030529016464,-13.2032446506981,2.25399884528421
