"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
80.0000000000001,-79.6554694647649,-403.832809652064,483.726719537304
81.0000000000001,71.0368721912613,-481.316322552703,391.414084128528
82.0000000000001,237.116254489341,-509.090133871616,275.425642177332
83.0000000000001,375.25527815672,-482.812528976986,155.177712390189
84.0000000000001,465.100436883963,-406.301544891001,-16.4041418686469
85.0000000000001,497.073866611236,-347.686784773064,-194.465215581132
86.0000000000001,477.847072167642,-200.182671160108,-335.879519470705
87.0000000000001,465.241292516366,-22.2488911194072,-432.368768908288
88.0000000000001,369.500360399569,136.137992477809,-483.461695096334
89.0000000000001,225.706264214139,281.739666616072,-505.753858474334
90.0000000000001,90.2224067548953,407.531721493027,-475.962465371727
91.0000000000001,-66.7855052255073,483.433864284139,-374.454084309985
92.0000000000001,-243.574112099592,504.050027542204,-292.6696183884
93.0000000000001,-382.650122067643,467.845855970928,-157.335009062382
94.0000000000001,-458.318493102719,429.925282310316,26.1665414664634
95.0000000000001,-491.485738019359,341.921898401125,198.397739573121
96.0000000000001,-495.43010519447,187.439577533728,329.91824968149
97.0000000000001,-462.758351832859,26.7223450370755,432.971330616948
98.0000000000001,-353.15919284222,-126.535359520918,494.104601619221
99.0000000000001,-235.025183705708,-285.75632212056,508.384234070301
100,-102.282731977686,-412.384441176344,462.243429674021
101,73.8970071048355,-483.255723336804,383.42140306255
102,246.311033102971,-499.036415443525,306.505350230782
103,375.243293074777,-468.864668673626,147.430083235838
104,456.740056899837,-444.801258010268,-32.2685748066833
105,489.846079748753,-330.101956172511,-186.760500617114
106,505.715126502721,-178.522603371432,-328.053093307037
107,452.374591636147,-39.8216403326734,-436.103699421189
108,342.402429579537,124.463049571548,-494.742656764234
109,250.962088775781,291.227016211898,-504.131270688888
110,103.36618531206,414.832899231131,-448.823202514761
111,-82.8826433153977,476.034850241061,-405.270785701134
112,-248.276119323731,491.023868162981,-300.608651541437
113,-368.427403359404,487.691744289195,-135.628447534972
114,-457.314989069093,437.160525529276,27.4703931931115
115,-500.199823543098,313.031226844751,180.760581240398
116,-503.215187287997,190.220259460734,331.058653390806
117,-435.540588938659,47.6738651722133,443.486553018809
118,-357.933032936778,-131.116894212028,494.382054526116
119,-259.451894870316,-295.412095128945,494.380329832648
120,-93.052965997279,-410.548520251829,457.4608897296
121,87.4342268738566,-474.772276243563,416.259716727581
122,237.900958588247,-492.460520947721,286.789514902828
123,369.349426412483,-498.748619066109,128.23908271677
124,459.693115174552,-424.063669534204,-13.1989666537211
125,504.316366211676,-306.603685099925,-180.612018980755
126,497.175317194332,-206.636704556114,-335.378375957134
127,427.182302154418,-46.0169693370285,-443.287486877336
128,377.330391668137,138.779326252835,-489.650042195538
129,254.557371104573,294.035418875022,-487.088596260998
130,81.3929516163381,403.114785291352,-476.038235309837
131,-83.2260141397838,474.590954158558,-407.425899375481
132,-231.275821648084,503.314853039799,-271.552995748485
133,-371.296410248598,493.762570174266,-141.124689922539
134,-466.932414636993,406.696482716013,8.62802035168464
135,-501.165438044176,326.930869220425,186.395468068159
136,-483.655676711198,208.303493265107,339.935364875136
137,-444.350939315922,36.8344501938809,438.402221645803
138,-381.623958937625,-142.003459787648,485.529050824356
139,-239.453658091308,-285.696041409203,493.821849075095
140,-76.9537357233214,-403.95739073842,484.429563302076
141,68.9962429629671,-477.05882074626,391.671758650823
142,233.95558380114,-509.706419596547,268.293089582727
143,374.295351001945,-483.798597552075,157.247702087096
144,466.461571893388,-402.453056100828,-12.6391674547801
145,497.813481287863,-345.560469343262,-193.222695047244
146,478.940410089165,-203.025658138057,-336.150233546885
147,461.674724000958,-24.9837787058358,-432.714717483429
148,372.341121164874,137.047982771267,-484.945217900337
149,227.127359134183,279.479378606399,-504.30529605178
150,89.0151084373254,406.224058878239,-478.571088912449
151,-65.6080771630594,483.113971974334,-376.288107987302
152,-239.232500225116,505.294495292116,-289.588697001502
153,-379.310645081257,469.590709483601,-157.37296930293
154,-460.375704196028,425.675840001299,22.0486718013064
155,-490.769063785305,342.995278815001,195.907445332473
156,-492.071210514809,189.094073748321,329.371350138768
157,-463.812571759022,25.8548377406032,432.507708877199
158,-355.596883602436,-126.331937857932,489.626917619968
159,-228.736522244508,-283.54126642253,509.972089231774
160,-103.429064009449,-409.464947706016,463.980618802037
161,71.5295713040294,-483.94624465532,376.87719319327
162,245.132281030821,-499.890173274835,306.926072191492
163,375.472435182438,-466.246175085533,149.538607467443
164,456.807584919461,-443.424083052615,-31.9695922925516
165,489.952014195399,-332.498731696047,-188.59706339705
166,503.486106757704,-178.698596405294,-325.919900949868
167,455.475403526793,-36.8198427198227,-435.879251096396
168,343.12799669338,122.744071419977,-494.368206114743
169,247.258505260639,289.291446746208,-505.550260790252
170,104.172671506124,414.125683318587,-450.464162670454
171,-80.3623485437865,477.369984706374,-402.121194240045
172,-247.544593779991,491.539001541526,-301.454608041582
173,-369.050003847086,485.413293138777,-137.483941549708
174,-456.051212217378,438.420464116428,28.0612574590846
175,-498.124072015497,315.95269733242,181.493493460724
176,-504.596324207074,186.184583941418,329.417171670523
177,-438.578286921021,47.6833675123467,440.716385526261
178,-351.627016193847,-129.483784605777,495.445656351674
179,-260.697585305258,-293.98512877618,496.242090112803
180,-94.6866957019514,-410.973940097212,452.129649651781
181,87.7419238763371,-474.991258919555,417.592740570009
182,239.041946964681,-490.437582678698,289.233643705517
183,368.318174475263,-498.006257184028,127.798285765555
184,459.380073977879,-426.972150880051,-16.1060387524421
185,502.885897055623,-306.613318775186,-179.051798123384
186,499.17193748552,-202.461983747149,-334.865816786898
187,427.822049749095,-47.8770538579643,-443.509433376914
188,373.574891130195,137.415706493112,-490.08929987847
189,256.397982581774,295.096618707677,-487.787193381983
190,83.4376256910996,403.678152225994,-473.721083874247
191,-84.2069616552408,473.979025194511,-408.990609805839
192,-232.541476429304,502.311735718067,-273.592627976353
193,-370.146197774387,494.507551143968,-138.769301502069
194,-465.81163446311,409.415871946943,9.20580689600636
195,-502.079785371325,322.44036652322,184.911299815793
196,-486.093118840999,208.85166867942,338.887380995966
197,-438.748882485643,38.7583502551341,439.632996745611
198,-383.655546375456,-142.114344121418,486.512978020663
199,-242.258591948999,-286.672207835771,489.95736729655
200,-74.9858248327428,-403.810010336905,485.44189022014
201,70.2576438156464,-475.664079207305,394.701644901393
202,232.959690404249,-509.174095465515,266.744931863143
203,373.873327932539,-486.236448705784,154.687527833554
204,466.452596066375,-402.163527494596,-10.8959497716941
205,498.549848233165,-341.485342707167,-192.324231492704
206,479.336925161288,-205.655479127052,-337.747107673676
207,458.330752183031,-26.8804598297545,-432.640112050907
208,374.964364194281,139.34306655738,-484.882911362599
209,228.723786245183,279.745818892719,-503.039830861751
210,86.9909900576868,405.356911736736,-479.826613002544
211,-66.3069578343653,483.179593014143,-377.95067797821
212,-237.709642763438,505.629589485028,-286.59275944849
213,-378.818784594622,471.626385539826,-157.210442792074
214,-461.865636077711,421.230769328128,20.0297518143411
215,-491.884152128559,344.615936215015,195.723336272085
216,-488.249023942672,191.69872459379,330.628533019833
217,-465.500139933072,23.5537334439202,432.631367244788
218,-358.890490607853,-126.896579093439,487.271423933616
219,-224.983163486568,-282.860754049487,510.773989303038
220,-102.792265711659,-408.259828642067,466.909252276654
221,69.9949151448675,-484.251878596101,374.167772427131
222,244.295072307829,-501.370852721514,304.984515151596
223,376.561033819776,-465.958501746747,151.913462202076
224,456.760150319197,-440.114007057577,-30.4740005791757
225,490.139559805145,-335.5588946176,-191.479302664534
226,501.064048494344,-180.261281441017,-325.094630570889
227,458.074590756465,-33.8086753365745,-435.319008685996
228,344.254773531716,122.591699798868,-494.229243986009
229,244.532610560191,287.936143584528,-506.132758194483
230,104.020423595999,414.234687783592,-451.827710027607
231,-78.483442726758,478.471469454305,-398.846947962961
232,-247.56731858077,492.255998325751,-302.325768515348
233,-370.477182935225,482.310271338778,-139.655290789989
234,-455.765834897911,439.990144084793,29.471914610975
235,-495.905237372631,319.328575844652,182.471771530507
236,-506.009166393524,182.211870371197,328.897637491137
237,-441.927341061806,47.4338419183202,438.91304918035
238,-346.141337196877,-128.220528374029,496.453474796519
239,-261.274153726696,-293.139866359021,498.331228136444
240,-96.6193150153862,-411.816611556214,449.204323538435
241,87.0736341841554,-475.368438784032,416.828903397012
242,241.010448359062,-490.239612630114,292.088701199902
243,367.577023160744,-495.704809590047,129.221008286354
244,459.227869294291,-430.093988395892,-19.7999423171433
245,501.581610119057,-307.531742001053,-178.112345960977
246,500.861906647579,-198.735917148183,-334.06573145842
247,428.710844285045,-48.8822397165702,-443.643277347671
248,370.486836160659,135.865203625312,-490.824715163173
249,257.262296948769,295.766037474306,-488.401367309629
250,85.6406857478482,405.054596034008,-471.167007601401
251,-85.0824240754389,473.288640710299,-410.203479764109
252,-234.031776832276,500.829666057786,-276.236031756665
253,-369.576354141059,495.464281569625,-135.951678689635
254,-464.341798090937,412.71113861454,9.63046837537607
255,-503.30818912344,317.149498715039,183.873092856657
256,-489.391835820591,210.439476086085,337.653865830142
257,-432.673404363139,39.9510515252763,441.096159878054
258,-385.18954322801,-142.043211424209,487.624504779375
259,-245.081472116249,-287.897358881074,487.452410505537
260,-75.0627483994213,-403.691717385424,485.153450853084
261,72.8925753309928,-475.383219088591,397.832529318611
262,231.93849798692,-507.595186239917,267.165390912723
263,373.614784823115,-488.732848012605,150.733275195385
264,466.392918849482,-402.675925476058,-9.21253771781205
265,499.196732126436,-337.392341875813,-191.062735776464
266,480.001714281994,-207.688285299278,-338.807479736908
267,455.464824921599,-28.96861604613,-433.405582901514
268,376.707048682373,140.577854365646,-484.593497282993
269,230.525826786048,280.936181272471,-501.890881049619
270,85.1099408304457,404.475159610097,-480.564686891218
271,-67.1092049529962,482.514282229731,-380.35025107628
272,-236.441061614605,506.368169821434,-282.801266489076
273,-377.923446519094,474.332481352257,-157.418354765805
274,-463.417161318794,415.826640034317,18.2705214066325
275,-493.432898779576,346.400249356048,195.495479670155
276,-483.98851196283,194.355005040708,331.783308434459
277,-467.021849292851,21.6932542870518,432.839338266004
278,-362.009777958843,-127.8125283462,485.606729991504
279,-223.45147845759,-282.089437762759,510.612736333643
280,-100.547082397783,-407.625431283108,469.89656002151
281,68.4432076728194,-484.008583556388,373.654784913139
282,243.423089606432,-502.742914760596,301.118620072722
283,377.677484342002,-466.357400857568,154.322143023249
284,456.795619443131,-436.327828748188,-28.6564515095125
285,490.295185422029,-338.360447622601,-193.672188116772
286,499.141478535145,-182.01389610591,-325.134396921551
287,459.869968397547,-31.7582009623869,-434.489732868409
288,345.759551279508,123.321633025999,-494.224740447608
289,241.832235407704,286.478689236097,-506.430191536712
290,103.602535049201,413.831327989866,-453.748768392963
291,-76.6006731341562,479.758039000665,-394.726940289157
292,-247.272143236499,493.665294531539,-303.486632630506
293,-371.85128631287,478.28741990583,-141.934517769241
294,-455.966469178628,441.847292838648,31.0809721400342
295,-493.332285330556,322.611871016796,183.202376196026
296,-507.160657675039,178.621610080614,328.421093883166
297,-445.128636936326,46.8153343165216,437.475555748558
298,-342.74898852478,-126.830015018604,496.85448426431
